employee_id,employee_name,age,country,department,position,salary,joined_date
1,Olivia Scott,54,Japan,Marketing,Developer,69964.16,2023-07-26
2,Amelia Adams,52,Japan,Support,Analyst,21582.36,2012-03-24
3,Liam Lewis,28,Brazil,Marketing,Manager,110130.14,2021-12-28
4,Ella Young,26,India,Support,Analyst,35814.12,2010-02-02
5,Chloe Taylor,48,Germany,Finance,Consultant,113916.0,2024-02-10
6,Amelia Martinez,50,China,Marketing,Analyst,79145.74,2020-03-03
7,Ethan Young,26,Brazil,IT,Manager,131465.04,2024-04-20
8,William Wright,26,India,Support,Executive,72292.61,2019-04-07
9,Sophia King,50,UK,IT,Manager,100199.49,2021-03-21
10,Liam Perez,38,India,IT,Analyst,32855.23,2023-08-03
11,Alexander Anderson,34,China,Finance,Consultant,110232.14,2019-12-16
12,James Turner,43,UK,IT,Consultant,86199.28,2019-12-02
13,David Wilson,34,UK,IT,Executive,82029.37,2020-10-31
14,Michael Nguyen,44,China,HR,Analyst,55021.53,2014-09-26
15,Amelia Roberts,43,Germany,HR,Manager,91168.99,2015-10-02
16,Ava Martinez,50,Australia,HR,Executive,101063.01,2015-09-17
17,Benjamin Nelson,56,UK,Marketing,Analyst,58603.14,2021-08-17
18,Grace Hall,44,UK,HR,Analyst,47199.97,2013-12-21
19,Alexander Young,54,Australia,IT,Developer,41711.11,2020-05-07
20,Emma Anderson,25,India,Marketing,Analyst,69027.45,2021-09-01
21,Ava Brown,49,Canada,Support,Developer,52412.95,2019-05-15
22,Amelia Phillips,54,Germany,HR,Executive,71107.24,2012-02-08
23,Benjamin King,41,Japan,Support,Executive,69331.45,2011-04-16
24,Mia Adams,57,Australia,Marketing,Developer,69012.11,2014-05-11
25,Ella Clark,28,Canada,Finance,Consultant,100806.29,2012-03-07
26,Ava Wilson,49,Japan,Finance,Executive,140766.49,2012-04-05
27,James Wilson,28,Australia,Finance,Manager,172796.11,2012-06-24
28,Olivia Young,57,France,Finance,Executive,165730.76,2023-12-27
29,Ethan Nelson,34,UK,HR,Consultant,54978.67,2010-06-28
30,Isabella King,41,Canada,Marketing,Consultant,89648.75,2020-04-09
31,Liam Martinez,47,China,IT,Consultant,61132.75,2021-03-10
32,Ethan Turner,42,Germany,HR,Analyst,67729.41,2011-08-28
33,Daniel King,53,Australia,Marketing,Executive,97095.37,2010-02-16
34,Isabella Baker,30,Brazil,Finance,Executive,114397.57,2020-05-16
35,David Phillips,29,India,HR,Executive,80169.03,2010-09-28
36,Benjamin Adams,55,USA,Finance,Consultant,85791.27,2016-03-12
37,Chloe Nelson,30,Brazil,Support,Developer,31306.41,2019-08-14
38,Lucas Mitchell,53,Japan,Finance,Developer,74806.18,2011-10-24
39,Mia Torres,30,India,IT,Manager,108592.24,2020-01-06
40,Mason Carter,32,France,Marketing,Executive,84797.88,2015-01-13
41,William Wright,50,Germany,Support,Analyst,40479.99,2016-03-21
42,Isabella Mitchell,57,USA,Finance,Developer,118336.7,2012-01-02
43,Amelia Anderson,49,UK,Finance,Analyst,90442.18,2021-07-15
44,Lucas Hill,50,Japan,Marketing,Executive,86883.73,2010-04-09
45,Amelia Carter,33,Brazil,IT,Consultant,57465.7,2023-10-25
46,Harper Taylor,40,Japan,Finance,Analyst,91208.81,2019-04-21
47,David Adams,50,Australia,Finance,Developer,68665.28,2014-10-18
48,Ella Turner,35,Australia,Finance,Developer,116219.09,2016-10-01
49,Daniel Brown,26,Brazil,Finance,Executive,98939.54,2024-06-04
50,Lucas Baker,54,Germany,Support,Executive,63818.33,2022-02-05
51,Emily Roberts,56,UK,IT,Manager,115154.35,2021-05-02
52,Ava Turner,35,Brazil,Support,Consultant,59212.17,2024-02-19
53,William Mitchell,40,Australia,IT,Executive,82715.51,2019-12-14
54,Charlotte Mitchell,58,Canada,IT,Manager,142495.08,2020-07-20
55,Harper Moore,32,Brazil,HR,Manager,93330.84,2011-07-06
56,Sophia Clark,42,Canada,HR,Executive,68973.0,2014-10-02
