id,first_name,last_name,degree,school,department,hire_year,hire_date,salary,country
1,Victoria,Clark,MD,MIT,Business,2007,2007-11-02,192424,SPAIN
2,Mason,Johnson,PHD,MIT,Accounting,2011,2011-04-28,165746,MEXICO
3,Stella,Nelson,MBA,Stanford,Bio Informatics,2002,2002-10-15,118334,GERMANY
4,Logan,Mitchell,MS,MIT,Data Science,2009,2009-06-02,143389,CANADA
5,Aiden,Green,PHD,Stanford,Bio Informatics,2021,2021-04-07,183909,FRANCE
6,Grace,Clark,MD,MIT,Engineering,2019,2019-05-31,148784,USA
7,Henry,Brown,MBA,Stanford,Engineering,2018,2018-03-10,131319,CANADA
8,Lily,Wilson,MBA,Stanford,Business,2002,2002-08-10,135022,CANADA
9,Elijah,Gonzalez,MS,MIT,Bio Informatics,2024,2024-10-29,116971,SPAIN
10,Wyatt,Martin,MBA,SCU,Business,2004,2004-03-21,175355,SPAIN
11,Ella,Smith,PHD,MIT,Engineering,2020,2020-12-14,197602,SPAIN
12,Sofia,Green,PHD,SCU,Business,2003,2003-05-14,198067,UK
13,Noah,Flores,MS,Harvard,Accounting,2021,2021-10-01,195897,ITALY
14,Mia,Gonzalez,MBA,MIT,Data Science,2004,2004-12-13,127838,USA
15,Riley,Martin,MD,MIT,Business,2002,2002-03-21,121161,ITALY
16,Ethan,Carter,MD,MIT,Data Science,2018,2018-02-08,162947,CANADA
17,Riley,Garcia,MS,MIT,Computer Science,2023,2023-11-16,134763,FRANCE
18,Abigail,Brown,MS,Stanford,Accounting,2021,2021-10-27,129160,ITALY
19,Victoria,Green,PHD,MIT,Computer Science,2010,2010-04-10,163300,MEXICO
20,Amelia,White,MS,MIT,Bio Informatics,2025,2025-06-22,168084,ITALY
21,Liam,Perez,MBA,ISU,Bio Informatics,2010,2010-05-14,180343,MEXICO
22,Daniel,Lopez,MBA,Harvard,Business,2019,2019-06-17,146598,UK
23,Lillian,Garcia,MS,Stanford,Computer Science,2024,2024-10-29,123429,UK
24,Aria,Lewis,MBA,ISU,Bio Informatics,2021,2021-04-21,159350,USA
25,Abigail,Taylor,PHD,ISU,Accounting,2015,2015-02-18,198563,MEXICO
26,James,Brown,PHD,Stanford,Data Science,2000,2000-09-07,103612,CANADA
27,Sofia,Mitchell,MBA,Harvard,Engineering,2001,2001-03-04,159685,GERMANY
28,Leo,Johnson,MBA,MIT,Accounting,2002,2002-08-13,196775,USA
29,Amelia,Wright,PHD,SCU,Bio Informatics,2018,2018-09-09,153153,USA
30,Victoria,Evans,MBA,ISU,Data Science,2001,2001-07-03,182108,SPAIN
31,Michael,Lee,PHD,ISU,Computer Science,2022,2022-03-07,137133,UK
32,Mason,Taylor,PHD,Harvard,Business,2008,2008-12-25,163284,MEXICO
33,Isabella,Wilson,MS,MIT,Bio Informatics,2006,2006-10-20,138510,CANADA
34,Emily,Lewis,MS,Stanford,Bio Informatics,2006,2006-11-30,186933,FRANCE
35,Lucas,Nguyen,MS,SCU,Business,2018,2018-04-06,108631,GERMANY
36,Lucas,Mitchell,PHD,SCU,Bio Informatics,2014,2014-06-06,170847,UK
37,Zoe,Rodriguez,PHD,SCU,Business,2022,2022-07-14,125037,MEXICO
38,Ava,Green,PHD,Stanford,Accounting,2003,2003-11-19,167533,ITALY
39,Benjamin,Hernandez,PHD,SCU,Business,2015,2015-03-29,160628,MEXICO
40,Logan,Martinez,MS,SCU,Business,2023,2023-01-21,182875,FRANCE
41,Emily,Miller,MBA,Harvard,Data Science,2011,2011-07-20,131081,GERMANY
42,James,Wright,MBA,MIT,Accounting,2016,2016-11-03,135420,CANADA
43,Alexander,Sanchez,MBA,Harvard,Business,2000,2000-07-14,104611,USA
44,Henry,Nelson,MS,Stanford,Bio Informatics,2011,2011-08-19,190350,SPAIN
45,Hannah,Hernandez,MD,SCU,Computer Science,2016,2016-04-09,196619,GERMANY
